date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:45:22	29425/29425	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2000:45:20%20GMT	http://www.fitisimo.dev/robots.txt		(from )
02:45:22	52804/52804	U--MC-	200	updated ('OK')	text/html	date:Sat,%2027%20Sep%202014%2000:45:21%20GMT	http://www.fitisimo.dev/	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/index.html	(from )
02:45:22	34050/34050	U--MC-	200	updated ('OK')	text/html	date:Sat,%2027%20Sep%202014%2000:45:21%20GMT	http://www.fitisimo.dev/order-complete	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/order-complete.html	(from )
02:45:22	39033/39033	U--MC-	200	updated ('OK')	text/html	date:Sat,%2027%20Sep%202014%2000:45:21%20GMT	http://www.fitisimo.dev/privacy	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/privacy.html	(from )
02:45:22	15/15	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2000:45:22%20GMT	http://www.fitisimo.dev/wp-content/plugins/really-static/static/comments/feed/	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/plugins/really-static/static/comments/feed/index.html	(from http://www.fitisimo.dev/)
02:45:22	15/15	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2000:45:22%20GMT	http://www.fitisimo.dev/wp-content/plugins/really-static/static/home-multi-layer-parallax/feed/	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/plugins/really-static/static/home-multi-layer-parallax/feed/index.html	(from http://www.fitisimo.dev/)
02:45:22	15/15	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2000:45:22%20GMT	http://www.fitisimo.dev/wp-content/plugins/really-static/static/feed/	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/plugins/really-static/static/feed/index.html	(from http://www.fitisimo.dev/)
02:45:23	45124/45124	U-----	200	untouched ('OK')	text/css	etag:%22b044-4f6c4b2c32900%22	http://www.fitisimo.dev/wp-content/themes/salient/wpbakery/js_composer/assets/css/js_composer_front.css?ver=3.7.3	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/themes/salient/wpbakery/js_composer/assets/css/js_composer_front1ac1.css	(from http://www.fitisimo.dev/)
02:45:23	53108/53108	U-----	200	untouched ('OK')	text/html	etag:%22cf74-504013d59b506%22	http://www.fitisimo.dev/wp-content/plugins/really-static/static/	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/plugins/really-static/static/index.html	(from http://www.fitisimo.dev/)
02:45:23	2278/2278	U-----	200	untouched ('OK')	text/css	etag:%228e6-4f6c4ac903f00%22	http://www.fitisimo.dev/wp-content/themes/salient/css/rgs.css?ver=4.5.2	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/themes/salient/css/rgs3428.css	(from http://www.fitisimo.dev/)
02:45:23	22104/22104	U-----	200	untouched ('OK')	text/css	etag:%225658-4f6c4ac71ba80%22	http://www.fitisimo.dev/wp-content/themes/salient/css/font-awesome.min.css?ver=4.0	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/themes/salient/css/font-awesome.minf9b8.css	(from http://www.fitisimo.dev/)
02:45:23	7348/7348	U-----	200	untouched ('OK')	text/css	etag:%221cb4-4f6c4ac71ba80%22	http://www.fitisimo.dev/wp-content/themes/salient/css/steadysets.css?ver=4.0	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/themes/salient/css/steadysetsf9b8.css	(from http://www.fitisimo.dev/)
02:45:23	2593/2593	U-----	200	untouched ('OK')	text/css	etag:%22a21-4f6c4ac903f00%22	http://www.fitisimo.dev/wp-content/themes/salient/css/linecon.css?ver=4.0	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/themes/salient/css/lineconf9b8.css	(from http://www.fitisimo.dev/)
02:45:23	242917/242917	U-----	200	untouched ('OK')	text/css	etag:%223b4e5-5020ad68c4a00%22	http://www.fitisimo.dev/wp-content/themes/salient/style.css?ver=4.5.2	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/themes/salient/style3428.css	(from http://www.fitisimo.dev/)
02:45:23	81043/81043	U-----	200	untouched ('OK')	text/css	etag:%2213c93-5020adcbf3400%22	http://www.fitisimo.dev/wp-content/themes/salient/css/responsive.css?ver=4.5.2	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/themes/salient/css/responsive3428.css	(from http://www.fitisimo.dev/)
02:45:23	15821/15821	U-----	200	untouched ('OK')	text/css	etag:%223dcd-500470f7bc180%22	http://www.fitisimo.dev/wp-content/themes/salient/css/ascend.css?ver=4.5.2	C:/My%20Web%20Sites/test/gymtogo/www.fitisimo.dev/wp-content/themes/salient/css/ascend3428.css	(from http://www.fitisimo.dev/)
